YEAR,MONTH,BEGIN_DAY,BEGIN_TIME,BEGIN_LAT,BEGIN_LON,STATE,EVENT_TYPE,FLOOD_CAUSE,EVENT_NARRATIVE,temperature_2m_mean,wind_speed_10m_mean,cloud_cover_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,rain_sum,snowfall_sum,pressure_msl_mean,soil_moisture_0_to_10cm_mean,elevation
2024,5,13,1712,27.42,-98.18,TEXAS,Hail,,Photos of hail up to golf ball size from Emergency manager.,31.263237,29.01728,66.01483,65.447525,25.778833,0.32678837,0.32678837,0.0,1002.9573,0.15294012,57.0
2008,6,17,2102,33.35,-100.67,TEXAS,Hail,,Law enforcement officials reported golf ball size hail in Girard. No significant damage was reported.,30.275385,14.977894,17.386513,36.802753,13.857242,0.0,0.0,0.0,1012.9575,0.17753115,650.0
2015,4,13,1330,32.22,-99.8513,TEXAS,Hail,,,24.12997,25.699009,57.372936,71.41774,19.568758,0.75514233,0.75514233,0.0,1007.19037,0.19399999,625.0
2003,4,18,2035,30.05,-101.21667,TEXAS,Hail,,,19.324203,18.008581,59.707546,72.46771,16.614231,0.3166448,0.3166448,0.0,1014.1183,0.14235611,590.0
2003,6,26,240,34.21667,-102.73333,TEXAS,Hail,,,29.981226,18.167837,39.58239,27.175709,9.188145,0.0,0.0,0.0,1010.97284,0.17737773,1155.0
2015,8,20,613,29.46,-94.65,TEXAS,Lightning,,Light struck and caused a fire at an oil storage tank near Crystal Beach.,28.382076,8.918814,12.486841,76.81342,23.785292,2.7255514,,,1014.55194,0.28245106,1.0
2009,4,27,24,31.45,-100.45,TEXAS,Hail,,Nickle size hail was reported at the NWS San Angelo office.,17.972418,19.79069,21.817093,39.165146,4.412147,0.0,0.0,0.0,1017.949,0.16471717,565.0
2017,4,26,458,32.58,-96.95,TEXAS,Hail,,A trained spotter reported hen-egg sized hail in Cedar Hill.,11.379967,16.735048,0.0,38.757977,-1.4158603,0.0,0.0,0.0,1016.0633,0.3668043,252.0
2013,8,8,1942,35.55,-100.96,TEXAS,Hail,,A splitting discrete thunderstorm moved northward across Gray County during the evening hours of the 8th. The Gray County Sheriff's Office reported quarter size hail  (1.00 inch) as the thunderstorm moved over the northern portion of Pampa (Gray County). The thunderstorm continued to move to the north before dissipating over northern Ochiltree County.,25.795399,14.283695,62.251823,56.74256,17.104609,0.0,0.0,0.0,1014.75757,0.1876734,979.0
2021,4,15,850,30.49,-100.05,TEXAS,Hail,,,19.336105,8.709668,71.79401,83.502335,17.934319,1.9812078,1.9812078,0.0,1016.6525,0.44677165,584.0
2016,5,9,2259,33.4631,-94.1335,TEXAS,Thunderstorm Wind,,Trees down blocking roadways on the Texas side of Texarkana. Trees down on 2 homes. Power lines were also down on Kings Highway north of Interstate 30.,24.124987,8.55844,45.524094,71.71354,19.441093,0.0,0.0,0.0,1016.4785,0.29125017,112.0
2017,2,27,1445,33.58,-95.92,TEXAS,Hail,,Amateur Radio report egg size hail (2.25) in Honey Grove.,15.942413,18.501204,35.803017,68.86589,10.695096,2.0732708,2.0732708,0.0,1015.8913,0.33467072,202.0
2022,3,29,2230,30.86,-100.6,TEXAS,Hail,,"There were broken windows in some homes in Eldorado. Also, quarter size hail was reported.",24.5448,23.627571,0.0,52.64496,14.783228,0.0,0.0,0.0,1006.774,0.264158,745.0
2019,6,19,1916,33.19,-95.48,TEXAS,Hail,,"A public report indicated half-dollar size hail approximately 8 miles east-northeast of the city of Sulphur Springs, TX.",30.311596,14.715511,0.0,59.012814,21.439293,0.0,0.0,0.0,1014.3853,0.191173,127.0
2005,7,13,1515,32.48333,-96.98333,TEXAS,Hail,,,32.83026,18.484228,0.0,50.238403,20.83674,0.0,0.0,0.0,1009.344,0.283151,219.0
2009,5,27,1222,27.7884,-97.6652,TEXAS,Hail,,Reported in Robstown.,27.828321,15.129272,23.99538,71.64422,23.066273,0.122182645,0.122182645,0.0,1010.9295,0.27765468,25.0
2013,5,21,702,35.1284,-101.9076,TEXAS,Heavy Rain,,A member of the public reported 0.46 inches of rain in quick bursts over the course of two and one half hour in southwest Amarillo (Randall County).,21.767727,19.87143,36.290405,27.135803,3.6056755,0.0,0.0,0.0,1009.705,0.15258348,1125.0
2025,5,19,1723,33.55,-97.86,TEXAS,Thunderstorm Wind,,Emergency management reported that two overhead doors were damaged by high winds at the volunteer Fire Department approximately 1 mile south of Bowie on Highway 59.,26.574091,10.226311,38.346596,72.35828,20.913408,0.3479851,0.3479851,0.0,1014.4121,0.2610559,329.0
2017,6,4,1414,29.62,-98.29,TEXAS,Hail,,,25.566025,14.92974,34.673256,82.03747,23.43641,0.24880865,0.24880865,0.0,1005.1685,0.42565343,249.0
2025,4,26,1848,31.55,-103.13,TEXAS,Hail,,A report of hen egg-sized hail was received from mPING. The time was estimated from radar.,24.249487,15.243756,2.843233,19.132294,0.56128436,0.0,0.0,0.0,1003.8505,0.06266344,803.0
2009,5,26,2016,33.68,-101.38,TEXAS,Hail,,The Ralls Fire Department reported nickel size hail in Ralls at 20:16 CST.,21.655407,16.85995,0.0,63.493164,13.773649,0.0,0.0,0.0,1007.9021,0.25468493,951.0
2008,5,13,1715,31.15,-99.39,TEXAS,Hail,,,20.10335,11.438223,0.0,41.12619,7.95873,0.0,0.0,0.0,1017.16174,0.33633,531.0
2007,9,27,1345,32.13,-94.93,TEXAS,Hail,,Hail fell in the community of Price.,27.934994,7.6203666,0.0,76.41679,23.688602,0.0,0.0,0.0,1017.6619,0.29871568,119.0
2023,5,4,1928,33.68,-97.16,TEXAS,Thunderstorm Wind,,Amateur radio reported 60 MPH wind gusts on FM 1202 north of Gainesville.,18.601923,8.464716,0.0,74.311615,14.098634,0.0,0.0,0.0,1020.12604,0.37366033,261.0
2007,5,8,230,31.7284,-106.2958,TEXAS,Hail,,The third severe thunderstorm of the night dropped a great amount of quarter to half dollar size hail on far east El Paso. Unfortunately several car dealerships are located in this area and experienced damage to new vehicles. Hail sales were advertised for weeks to follow.,24.89667,12.888647,21.518183,18.66292,-0.9690519,0.0,0.0,0.0,1011.0783,0.022492502,1167.0
2003,6,3,1830,30.48333,-93.8,TEXAS,Thunderstorm Wind,,,28.495401,8.251116,68.28289,55.873245,18.567518,0.0,0.0,0.0,1016.83624,0.18510062,22.0
2011,9,26,2142,32.1,-96.47,TEXAS,Thunderstorm Wind,,A 58 mph thunderstorm wind gust was measured at the Corsicana Airport.,30.700165,11.73001,4.270729,53.12095,20.060385,0.0,0.0,0.0,1010.66626,0.2649938,121.0
2007,4,21,2055,35.03,-101.2,TEXAS,Thunderstorm Wind,,,24.340935,23.167309,49.54736,25.599827,3.9587572,0.0,0.0,0.0,1004.6863,0.16528983,966.0
2024,5,27,1731,33.0,-97.26,TEXAS,Hail,,Public reported hail up to ping pong ball sized in Seventeen Lakes.,20.37467,12.9460335,0.0,63.36898,14.091438,0.0,0.0,0.0,1012.981,0.39098528,196.0
2020,4,28,2318,32.58,-97.1,TEXAS,Hail,,Hail report received via mPing.,26.441633,26.686108,0.0,60.384773,19.294033,0.0,0.0,0.0,1005.7979,0.21045066,175.0
2013,5,21,2230,30.9963,-94.8275,TEXAS,Hail,,Quarter size hail observed in Corrigan.,27.505898,11.188953,25.285034,65.99842,21.30271,0.0,0.0,0.0,1013.94684,0.3203403,73.0
2015,5,25,1552,33.13,-95.6,TEXAS,Thunderstorm Wind,,"Amateur radio operators estimated winds between 60 and 70 mph in Sulphur Springs. Several trees were blown over, and numerous carports were damaged. Additionally, the Sulphur Springs airport had several airplanes moved or damaged as a result of the storm.",22.688484,12.298367,61.809685,89.21853,21.892622,5.7605114,5.7605114,0.0,1018.5538,0.26775104,160.0
2025,5,16,1933,32.33,-96.32,TEXAS,Hail,,An emergency manager reported quarter to ping pong ball size hail south of Kemp.,26.891144,23.45253,44.256783,75.2952,22.92914,0.36734182,0.36734182,0.0,1006.51904,0.26622826,116.0
2021,3,24,1828,33.1753,-95.2278,TEXAS,Hail,,Ping pong ball size hail fell on the south side of Mount Vernon at Mount Vernon High School.,17.692375,9.546115,24.705032,76.02443,13.5877,0.0,0.0,0.0,1018.4628,0.4089613,156.0
2003,8,11,1218,33.45,-94.46667,TEXAS,Thunderstorm Wind,,Both the front and back porches of a home were damaged by wind.  Several large trees down as well.,30.33796,7.395136,38.56436,43.421852,16.347906,0.0,,,1014.4673,0.27121556,119.0
2007,9,26,1530,33.8911,-102.32,TEXAS,Hail,,"Newspaper articles reported that hail damaged cotton crops across southeastern Lamb County during the afternoon hours of the 26th. At least 400 acres of cotton were beaten up south of Littlefield. Reports indicated that many leaves were stripped from the cotton plants by hail estimated up to one inch in diameter. In addition to hail, strong winds accompanied the storm, and were sufficient to break small tree limbs at a farmstead south of Littlefield.",19.6397,10.50754,0.0,39.107536,5.390356,0.0,0.0,0.0,1010.46625,0.25007343,1075.0
2023,6,4,1832,26.21,-97.65,TEXAS,Thunderstorm Wind,,An NWS Employee sent in a picture of a power pole leaning on Grimes Rd east of the Fire Station. Time estimated by radar and the wind gust recorded at Valley International Airport (KHRL) during the event.,28.218966,16.729828,8.979786,69.0254,22.326254,0.12311005,0.12311005,0.0,1015.84607,0.1486576,10.0
2024,5,16,1531,30.4437,-97.7423,TEXAS,Thunderstorm Wind,,A thunderstorm produced wind gust estimated at 70 mph that knocked down a large tree at the intersection of McNeil Dr. and W. Parmer Ln. in northern Austin.,26.707241,20.633484,58.301563,79.17072,23.202738,20.82467,20.82467,0.0,1006.1572,0.43238673,255.0
2008,7,31,1930,31.64,-97.09,TEXAS,Thunderstorm Wind,,Some trees were blown down near Elm Mott.,33.73268,13.484722,40.68125,45.81864,20.235823,0.0,0.0,0.0,1011.9193,0.2888295,149.0
2024,5,28,1307,29.56,-95.13,TEXAS,Thunderstorm Wind,,Several trees were downed.,25.516706,9.34709,31.003979,66.886536,18.766119,0.0,0.0,0.0,1011.9448,0.34745237,9.0
2014,5,12,1840,31.97,-95.4,TEXAS,Thunderstorm Wind,,A few trees were downed on FM. 747 north about 6 miles from Hwy. 79.,27.43461,17.780176,69.040886,58.755005,19.264677,19.592653,19.592653,0.0,1004.4563,0.3011274,153.0
2007,4,25,610,29.58,-95.75,TEXAS,Lightning,,Lightning strike at Richmond Police Department. Lightning struck an antique 1897 flag pole atop building and exploded it into several splinters. One 4 foot section of the pole was reported to have embedded itself in the ground across the street from the police station.,22.36542,12.119805,85.30865,83.17115,19.740976,0.11334067,0.11334067,0.0,1015.8625,0.4337102,29.0
2003,10,5,1710,30.66667,-96.36667,TEXAS,Thunderstorm Wind,,Tree limbs down which shattered two cars' windshields.,25.814335,10.79591,27.302933,56.764687,16.22714,0.0,0.0,0.0,1013.90234,0.18591206,118.0
2024,5,8,1931,33.09,-96.09,TEXAS,Hail,,Public report of 1 inch hail southeast of Greenville conveyed via mping.,27.79688,29.467655,6.605282,68.063896,21.75327,0.0,0.0,0.0,1001.7735,0.33708405,170.0
2025,4,30,844,33.28,-96.78,TEXAS,Thunderstorm Wind,,"Downed trees were reported along Dartmoor Drive, Mustang Trail, and Saddlebred Trail in the Carter Ranch subdivision, and a downed power line was at Coit Road and Vest Lane.",11.411194,11.192546,0.0,54.2825,3.2776163,0.0,0.0,0.0,1020.83575,0.4477935,220.0
2009,6,2,1538,32.75,-100.38,TEXAS,Hail,,,18.324999,6.315722,0.0,71.65041,13.038401,0.0,0.0,0.0,1017.0128,0.33456218,599.0
2001,4,30,1910,35.38333,-101.33333,TEXAS,Hail,,,19.8112,23.859415,0.0,29.502949,1.5051789,0.0,0.0,0.0,1002.82855,0.1476135,1049.0
2012,3,19,1410,30.27,-100.97,TEXAS,Hail,,,20.793848,19.7047,82.41035,73.268715,15.930309,0.0,0.0,0.0,1014.372,0.27864474,555.0
2001,4,10,2317,35.38333,-100.26667,TEXAS,Tornado,,An official storm damage survey was made of the estimated tornado path length and width.  A home and farm equipment were severely damaged.  Several large trees and power poles were also knocked down.  Several areas of non-tornadic downburst winds were also assessed...primarily in the west and southwest areas of Wheeler county.,16.794603,23.030235,26.760147,39.52322,5.002547,0.0,0.0,0.0,1018.23334,0.20602426,746.0
2003,8,22,1450,26.18333,-98.11667,TEXAS,Thunderstorm Wind,,,29.716682,12.214213,34.899216,68.470726,23.484982,6.442522,,,1013.468,0.16717525,32.0
2004,4,10,1912,30.71667,-94.7,TEXAS,Hail,,Penny-size hail reported (Key Map 295X),19.575064,9.279299,0.0,74.14626,15.6307955,0.0,0.0,0.0,1017.7852,0.38150746,70.0
2010,3,10,1548,33.44,-94.07,TEXAS,Hail,,Dime sized hail was reported along the north side of Texarkana at Summerhill Road and Interstate 30.,12.813193,13.474726,73.396225,75.32901,9.224084,0.5163724,0.5163724,0.0,1012.6827,0.4363635,102.0
2009,5,12,1858,34.2399,-100.6201,TEXAS,Hail,,The public reported penny size hail along Farm to Market Road 94 just south-southwest of Northfield.,22.033508,20.61213,54.71364,67.98834,16.277487,0.32098776,0.32098776,0.0,1008.60345,0.28425637,643.0
2008,4,25,1900,30.87,-97.25,TEXAS,Hail,,Ping-pong size hail was reported in Davilla.,19.651285,9.642389,23.933945,40.50853,6.651787,0.0,0.0,0.0,1017.5239,0.29958904,123.0
2007,5,15,1515,33.43,-94.05,TEXAS,Thunderstorm Wind,,Trees were downed on the west side of town including one which fell on top of a car on the Texas side of State Line Road. No injuries were reported.,25.078413,9.815024,30.528599,73.57907,19.96451,0.0,0.0,0.0,1014.12946,0.3476218,93.0
2024,5,2,1632,31.81,-100.03,TEXAS,Hail,,Public reported tennis ball size hail 5 miles southwest of Hatchel.,28.811771,12.645023,25.284384,30.905178,10.095539,0.0,0.0,0.0,1006.37225,0.15679756,542.0
2009,3,30,2115,32.9868,-97.3726,TEXAS,Hail,,Quarter size hail was reported just west of Haslet.,10.497512,22.620874,86.662186,79.61909,7.805731,20.706305,20.706305,0.0,1023.52155,0.47324052,230.0
2010,5,14,1402,32.0986,-96.4404,TEXAS,Hail,,Penny size hail fell at the intersection of Interstate 45 and Highway 31 near Corsicana.,23.2815,23.940687,56.202736,80.13889,20.141573,42.45611,42.45611,0.0,1007.7378,0.31634486,118.0
2012,4,4,1138,29.3987,-95.2786,TEXAS,Hail,,Baseball sized hail reported along Community Drive in Alvin.,25.055187,21.257904,75.84825,73.08239,20.927755,0.10492702,0.10492702,0.0,1012.0102,0.3319191,12.0
2020,4,24,1953,32.9996,-94.4393,TEXAS,Thunderstorm Wind,,Trees were blown down across multiple roadways several miles west of Linden.,23.12624,8.0746155,1.4885826,70.0408,17.853764,0.0,0.0,0.0,1013.047,0.37909615,88.0
2009,7,29,14,32.0752,-102.8146,TEXAS,Thunderstorm Wind,,"Three power poles were knocked down by severe wind gusts.  In addition, 6-8 inch diameter tree limbs were snapped.",27.045202,15.807035,69.03643,58.27662,18.281153,2.2398527,2.2398527,0.0,1017.18195,0.08092472,993.0
2013,5,16,55,30.85,-98.79,TEXAS,Hail,,,25.708483,19.881456,40.201714,67.36631,21.474766,0.11387371,0.11387371,0.0,1008.4866,0.19555444,400.0
2003,8,11,1315,32.38333,-95.26667,TEXAS,Thunderstorm Wind,,A roof was blown off of a restaurant.,29.760109,7.928958,36.62909,56.433144,20.012785,0.0,,,1014.207,0.285665,160.0
2015,5,7,1651,32.75,-99.88,TEXAS,Thunderstorm Wind,,A trained spotter measured a thunderstorm wind gust of 62 mph in Anson.,15.946085,20.75542,0.0,59.072155,8.803808,0.0,0.0,0.0,1019.2732,0.3313066,512.0
2006,3,28,1645,27.58333,-97.8,TEXAS,Hail,,Several reports of penny to quarter sized hail throughout Bishop.,22.493248,19.709568,64.94618,75.28013,19.650063,1.1878306,1.1878306,0.0,1011.83887,0.27348876,20.0
2009,5,2,1637,32.6767,-97.3838,TEXAS,Hail,,Penny hail fell near Hulen Blvd and Trail Lake Drive in southwest Fort Worth.,22.054893,22.75856,0.0,68.75039,16.258358,0.0,0.0,0.0,1012.67224,0.31421304,218.0
2001,5,11,1733,34.23333,-101.7,TEXAS,Hail,,,20.087332,17.352678,63.91102,66.099205,12.618174,1.5621723,1.5621723,0.0,1019.1045,0.16778477,1032.0
2008,3,9,2140,31.32,-99.41,TEXAS,Hail,,,19.872467,21.494799,53.956078,65.867226,15.762168,2.199474,2.199474,0.0,1010.57404,0.22296715,478.0
2023,9,29,2343,32.74,-102.64,TEXAS,Thunderstorm Wind,,,24.679094,12.758256,28.093447,42.560844,10.689724,0.24759498,0.24759498,0.0,1017.04254,0.07319923,1009.0
2024,5,2,1502,31.92,-100.29,TEXAS,Hail,,Public reported quarter size hail.,29.255373,13.812011,25.346628,33.441612,11.942096,0.0,0.0,0.0,1006.3311,0.18832332,559.0
2017,3,29,110,32.861,-97.331,TEXAS,Tornado,,"A National Weather Service survey crew determined a tornado caused damage to several areas in Fort Worth, Keller, and the far western portions of Southlake. This tornado occurred in a broader area of thunderstorm winds, yet a convergent path of damage was noted in Keller, especially near US 377 and North Tarrant Parkway. Several homes suffered minor roof damage, while fence and tree damage was most common. One business suffered damage to their roof and several awnings.",22.721312,22.142826,28.54097,47.25399,11.788734,0.0,0.0,0.0,1004.0944,0.22579762,205.0
2012,4,2,1950,36.2,-101.19,TEXAS,Hail,,,18.254166,24.424847,22.809843,41.617313,6.6366796,0.0,0.0,0.0,1011.1199,0.1754378,947.0
2011,4,24,2048,32.53,-97.65,TEXAS,Hail,,,27.210583,16.657173,70.14609,60.619793,18.814901,0.11425903,0.11425903,0.0,1008.6816,0.356483,303.0
2011,4,14,2156,32.92,-96.63,TEXAS,Hail,,Golfball sized hail fell in Garland.,12.250299,23.632555,62.957455,78.43533,9.231156,25.922915,25.922915,0.0,1013.28656,0.49438718,167.0
2005,4,5,1920,32.2,-95.55,TEXAS,Hail,,"Hail the size of tennis balls reported from a Tyler, TX television station; report relayed through NWS Shreveport.",18.323631,9.400864,70.486305,91.685974,17.943241,5.396806,5.396806,0.0,1016.0301,0.46306783,127.0
2012,4,3,1208,32.5473,-96.8238,TEXAS,Tornado,,"This tornado is a continuation from Ellis County. The tornado crossed into Dallas County near I-35E at the Ellis/Dallas County line. Light damage was noted as the tornado crossed into the county but then the tornado moved into the city of Lancaster and struck the Portofino Apartments where it damaged the roofs of two buildings and tore the roof off another building. Cars were moved in the parking lots, and the windows were blown out in one car. The tornado did significant damage to homes just northeast of the apartment complex, beginning on Sunny Meadow Dr. However, the most significant damage occurred near the intersections of Wintergreen Rd, Telephone Rd, and North Dallas Ave. Many homes in this area were heavily damaged or destroyed. Some cars were pushed into fences, many trees and tree branches were knocked down, an RV was crumpled, and some fence boards penetrated homes. The Cedar Valley Christian Academy also sustained heavy damage when it lost an entire wall. The tornado continued northeast crossing Interstate 20 near Dynasty Drive. The tornado hit a trucking company along the interstate, lofting several empty semis into the air. About 50 semitrailers were damaged or destroyed. The tornado damaged a few additional trees northeast of the trucking company and caused some minor roof damage in the Stagecoach neighborhood. The damage track ended near Palm Island St and Tioga St. In the city of Lancaster, 64 homes were destroyed, 51 sustained major damage, and another 58 sustained minor damage. An additional two homes were destroyed in the Dallas city limits. One home was destroyed when one of the semis from the trucking company was thrown into the house. The path length of the tornado in Dallas County was approximately 9.4 miles long but the total length of the tornado was 13.7 miles. Maximum estimated winds were 130 mph with a maximum width of 200 yards. Ten people in the city of Lancaster were injured, and two people sustained serious injuries.",23.041882,22.54916,60.3593,72.17916,17.565268,0.10947776,0.10947776,0.0,1012.0453,0.39170787,201.0
2017,5,3,1406,32.3256,-95.4287,TEXAS,Hail,,"Amateur radio reported quarter size hail near Chandler, TX. at the corner of Van Zandt, Henderson and Smith counties.",24.149488,11.350969,27.798546,82.38705,22.502062,0.0,0.0,0.0,1005.82324,0.42078608,133.0
2018,6,22,2015,35.57,-101.17,TEXAS,Thunderstorm Wind,,Emergency manager reported damage in the Skellytown area.,25.361717,14.968858,49.302963,58.31676,16.616304,7.769789,7.769789,0.0,1009.9739,0.1924018,999.0
