YEAR,MONTH,BEGIN_TIME,BEGIN_LAT,BEGIN_LON,STATE,EVENT_TYPE,FLOOD_CAUSE,EVENT_NARRATIVE,temperature_2m_mean,wind_speed_10m_mean,cloud_cover_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,rain_sum,pressure_msl_mean,soil_moisture_0_to_10cm_mean,elevation,is_primary_rain_season,is_secondary_rain_season,Flood_Zone_A,Flood_Zone_AE,Flood_Zone_AH,Flood_Zone_AO,Flood_Zone_AREA NOT INCLUDED,Flood_Zone_OPEN WATER,Flood_Zone_VE,Flood_Zone_X,Is_In_Floodplain_False,Is_In_Floodplain_True
2001,5,2200,34.53333,-101.95,TEXAS,Flash Flood,,The northern portion of the county received between five and ten inches of rain in several hours.  Portions of Farm-to-Market Road 596 and several other secondary roads were flooded.  The engine of a center pivot irrigation system remained underwater for at least five days.,24.946856,20.890638,0.0,37.03818,9.456871,1.8087851,1.8087851,1009.2271,0.13954453,1098.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,2200,34.53333,-101.8,TEXAS,Flash Flood,,Four to six inches of rain resulted in several secondary roads across the southern portion of the county to be flooded.,25.076014,21.342793,0.0,37.413685,9.732665,1.8844886,1.8844886,1009.2742,0.1429314,1068.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,2230,34.53333,-101.76667,TEXAS,Flash Flood,,Many roads in the eastern portion of the county were flooded.  A few roads had two to three feet of water covering them in places.,25.40961,22.568459,0.0,40.065254,11.116977,2.7226744,2.7226744,1009.23444,0.13605039,1060.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,2300,34.65,-101.56667,TEXAS,Flash Flood,,Portions of Highway 207 were reported flooded south of Silverton.,25.740204,21.306936,0.0,37.717663,10.447438,0.76306885,0.76306885,1008.9191,0.14113955,1035.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,30,33.75,-102.8,TEXAS,Flash Flood,,Portions of Highway 256 were reported flooded.,25.090992,22.688942,3.0631618,45.682827,12.71276,0.0,0.0,1007.633,0.110644,1156.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,1720,34.51667,-102.31667,TEXAS,Flash Flood,,A very slow moving thunderstorm produced excessive runoff that flooded several roads north and northwest of Morton including Farm-to-Market Road 596.,24.558868,18.98794,0.0,33.39206,7.4635005,0.42727828,0.42727828,1009.1491,0.1489556,1175.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,1830,34.5,-102.25,TEXAS,Flash Flood,,"A very slow moving thunderstorm dumped three to five inches of rain over the southern portion of the county in less than two hours.  Several secondary roads were flooded in and around Maple, Enochs, and Bula.",24.586601,18.98794,0.0,33.859047,7.7053566,0.42727828,0.42727828,1009.1491,0.1507203,1161.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,1940,34.4,-102.31667,TEXAS,Flash Flood,,Several sections of Highway 168 were reported flooded.,24.772264,18.98794,0.0,33.37464,7.636672,0.42727828,0.42727828,1009.1491,0.1563584,1146.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,1940,34.55,-102.1,TEXAS,Flash Flood,,"Several roads throughout the county were reported flooded including Highway 54 west of Littlefield, Highway 70 west of Earth and several secondary roads in the southwest portion of the county.",24.776043,20.890638,0.0,36.15225,8.935865,1.8087851,1.8087851,1009.2271,0.1393598,1140.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,2000,34.55,-102.01667,TEXAS,Flash Flood,,Farm-to-Market Road 145 and Farm-to-Market Road 2301 were reported flooded in the southeastern portion of the county.,24.834509,20.890638,0.0,36.604324,9.186329,1.8087851,1.8087851,1009.2271,0.14028363,1121.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,30,33.71667,-102.8,TEXAS,Flash Flood,,Highway 70 northwest of Floydada was flooded in several places.,25.037428,22.688942,3.0631618,45.882435,12.686785,0.0,0.0,1007.633,0.110644,1165.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,30,33.7,-102.76667,TEXAS,Flash Flood,,Several secondary roads in the eastern portion of the county were reported flooded including Highway 86.,25.121927,22.688942,3.0631618,45.882435,12.763659,0.0,0.0,1007.633,0.110644,1152.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,30,33.81667,-102.9,TEXAS,Flash Flood,,Several secondary roads in the western portion of the county were reported flooded including Highway 207.,25.12892,22.94742,0.0,45.434776,12.214532,0.0,0.0,1007.50134,0.104807556,1176.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,100,33.83333,-102.9,TEXAS,Flash Flood,,Highway 84 was reported flooded in town.,25.10292,22.94742,0.0,45.434776,12.190906,0.0,0.0,1007.50134,0.104807556,1180.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,100,33.83333,-102.65,TEXAS,Flash Flood,,Numerous roads throughout the county were reported flooded.,25.097563,22.688942,3.0631618,46.65291,13.074307,0.0,0.0,1007.633,0.110644,1120.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,5,100,33.91667,-102.7,TEXAS,Flash Flood,,Highway 385 south of town was flooded.,24.848555,22.297012,3.2519455,46.248844,12.709225,0.0,0.0,1007.6329,0.14799368,1164.0,True,False,False,False,False,False,False,False,False,False,True,False
2001,9,1840,33.15,-97.5,TEXAS,Flash Flood,,A high water rescue was required at the 1000 block of Trinity Blvd.,26.457504,11.54238,52.076305,73.3122,21.5284,5.934368,5.934368,1019.91046,0.31541055,277.0,False,True,False,False,False,False,False,False,False,True,True,False
2001,9,1900,26.2,-97.71667,TEXAS,Flash Flood,,The Hidalgo County Sheriff's Department reported that portions of U.S. Highway 83 near McAllen were under water.   Widespread flooding was also reported in the town of Pharr.,29.121275,10.9898615,52.336433,74.53195,24.701052,0.4144498,0.4144498,1012.3983,0.19379729,13.0,False,True,False,False,False,False,False,False,False,True,True,False
2001,9,2100,26.45,-97.83333,TEXAS,Flash Flood,,Widespread street flooding was reported around Harlingen by an off-duty NWS forecaster.  The most significant flooding was occurring along portions of U.S. Highway 77 and associated access roads.,29.09367,10.328627,52.39254,74.26707,24.657074,0.4121441,0.4121441,1012.43585,0.19318986,12.0,False,True,False,False,False,False,False,False,False,True,True,False
2001,9,1605,33.75,-100.33333,TEXAS,Flash Flood,,"Very heavy rainfall that fell in a short period of time from a high-precipitation supercell caused flash flooding that was up to 300 yards wide and five feet deep in some places in town.  The NWS cooperative observer for Paducah measured over three inches of rain from the storm but given the limitations of the instruments in high wind situations, that was likely an underestimate of the actual rainfall.  Several cars were stranded in high water and a few homes had water up to six inches deep in them.",23.78279,6.059327,59.93204,74.85866,19.736805,0.0,0.0,1016.15,0.24425825,598.0,False,True,False,False,False,False,False,False,False,False,True,False
2001,11,430,29.71667,-100.08333,TEXAS,Flash Flood,,"Rainfall redeveloped on the morning of the 15th over the Edward Plateau and western Hill Country.  In addition to the accumulations on the evening of the 14th, general 3 to 4 inch totals fell across Edwards County, bringing total amounts since the 14th to as much as 10 to 12 inches southeast of Rocksprings.  Maximum amounts of up to 18 inches were reported near Barksdale in the southeast part of the county along the Real County line. A 22-year old woman drowned when the car she was riding in was swept off a low-water crossing across SH55 into Hackberry Creek. The driver of the vehicle was also washed into the creek.  Both exited the vehicle and were clinging to tree branches as rescuers attempted to reach them.  The young woman was pregnant and unable to maintain her hold.  She was swept into the flood waters and drowned.  The driver was rescued.  Two men drove a pickup truck into the flooded low water crossing only a few minutes later but were rescued.",13.274472,11.014268,15.373562,35.341232,-1.2327915,0.0,0.0,1019.8813,0.31779456,479.0,False,False,False,False,False,False,False,False,False,False,True,False
2001,11,500,29.73333,-99.98333,TEXAS,Flash Flood,,"Rainfall redeveloped over Bandera County in the early morning hours, with totals since the previous night approaching 5 inches in the western part of the county around 7 am.  Flash flooding developed just before sunrise and continued into the early afternoon.  Road closures were widespread, with most of the damage to bridges and roads.  Emergency officials noted that in spite of the widespread flooding and road closures across the county, only a few rescues were required.  Apparently that the public stayed out of vehicles and very safe.",12.295758,10.231979,29.798004,36.12069,-1.5721607,0.0,0.0,1019.6866,0.30623627,631.0,False,False,False,False,False,False,False,False,False,False,True,False
2001,10,2035,33.58333,-96.18333,TEXAS,Flash Flood,,Numerous roads were flooded.,23.645702,22.356518,59.384556,78.386925,20.524252,0.50114626,0.50114626,1013.09326,0.25072172,187.0,False,True,False,True,False,False,False,False,False,False,False,True
2001,11,1330,30.88333,-102.28333,TEXAS,Flash Flood,,,11.927743,9.649122,6.8762875,35.624252,-1.6830026,0.0,0.0,1023.0783,0.15746158,780.0,False,False,False,False,False,False,False,False,False,False,True,False
2001,9,1800,26.25,-97.83333,TEXAS,Flash Flood,,"The Willacy County Sheriff's Department reported widespread flooding in the town of La Sara.  High water was also reported to be covering portions of FM 490, FM 1015, and FM 88, as well as State Highway 186.",29.16934,10.9898615,52.336433,73.69678,24.627924,0.4144498,0.4144498,1012.3983,0.19341752,16.0,False,True,False,False,True,False,False,False,False,False,False,True
2001,9,2300,32.21667,-99.8,TEXAS,Flash Flood,,A man caught in his vehicle in high water suffered minor injuries before he could be rescued. The man hung onto a guide wire for 20 minutes before police and fire personnel could finally wade out to reach him.,25.060295,13.505135,39.721115,74.86372,21.465597,10.169239,10.169239,1020.23096,0.19738501,604.0,False,True,False,False,False,False,False,False,False,True,True,False
2001,10,2335,32.86667,-98.46667,TEXAS,Flash Flood,,"Widespread flooding was reported between Hillsboro, Abbot, and Malone.",25.221825,22.417751,50.6176,62.10571,18.134108,0.13359217,0.13359217,1011.06946,0.1512203,302.0,False,True,False,True,False,False,False,False,False,False,False,True
2001,10,2330,32.88333,-98.5,TEXAS,Flash Flood,,Flooding was reported on Highway 22 between Frost and Blooming Grove.,25.37293,23.171898,31.0525,60.98157,17.916597,0.6294966,0.6294966,1010.6806,0.1551603,302.0,False,True,False,True,False,False,False,False,False,False,False,True
2001,10,2050,31.65,-97.51667,TEXAS,Flash Flood,,,23.929335,22.338575,67.60473,76.816864,20.700922,0.5208275,0.5208275,1013.21045,0.30760002,240.0,False,True,False,False,False,False,False,False,False,True,True,False
2001,11,1719,30.2,-102.46667,TEXAS,Flash Flood,,,11.028531,9.445926,0.1028595,35.633705,-2.2601063,0.0,0.0,1023.12366,0.15627946,1048.0,False,False,False,False,False,False,False,False,False,False,True,False
2001,11,1930,30.33333,-101.78333,TEXAS,Flash Flood,,,12.737393,7.6901507,0.0,33.060226,-2.1974678,0.0,0.0,1023.8146,0.1707873,607.0,False,False,False,False,False,False,False,False,False,False,True,False
2001,11,1545,30.88333,-102.28333,TEXAS,Flash Flood,,,11.927743,9.649122,6.8762875,35.624252,-1.6830026,0.0,0.0,1023.0783,0.15746158,780.0,False,False,False,False,False,False,False,False,False,False,True,False
2001,11,1719,30.36667,-103.05,TEXAS,Flash Flood,,,9.5220375,8.3628,0.0,36.348637,-3.4013834,0.0,0.0,1023.09906,0.0872218,1306.0,False,False,False,False,False,False,False,False,False,False,True,False
2001,11,1719,30.6,-102.86667,TEXAS,Flash Flood,,,11.505324,10.736616,0.0,32.74154,-3.2950776,0.0,0.0,1022.9832,0.16479966,1121.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,11,1430,29.26667,-96.16667,TEXAS,Flash Flood,,Extensive flooding in and around the Sharpstown area. One 17 year old female fatality with one 18 year old male injury when van they were driving became flooded outside of high school. Flooding extended into Houston metro with numerous flooded or completely submerged vehicles. 300 homes flooded.,24.143488,15.271797,61.632923,85.7413,21.322739,2.9639316,2.9639316,1009.9998,0.31967255,31.0,False,False,False,True,False,False,False,False,False,False,False,True
2003,11,1400,29.28333,-96.1,TEXAS,Flash Flood,,Flooding in the New Caney and Porter areas.,24.296532,14.0990715,54.65108,85.81994,21.908596,2.075177,2.075177,1010.0001,0.32521725,32.0,False,False,False,True,False,False,False,False,False,False,False,True
2003,11,1430,29.28333,-96.01667,TEXAS,Flash Flood,,Flooding in Coldspring.,24.29589,14.0990715,54.65108,86.23206,21.982403,2.075177,2.075177,1010.0001,0.32344863,29.0,False,False,False,False,False,False,False,False,False,True,True,False
2003,11,1233,29.13333,-96.28333,TEXAS,Flash Flood,,Flooding in and around the town of Wharton.,24.324429,15.271797,61.632923,86.20232,21.576279,2.9639316,2.9639316,1009.9998,0.3194796,27.0,False,False,False,False,False,False,False,False,False,True,True,False
2003,11,2205,29.93333,-94.71667,TEXAS,Flash Flood,,Flooding across northern Galveston County.,24.139011,12.311608,67.84701,91.3384,23.465343,15.431208,15.431208,1009.9915,0.41080207,9.0,False,False,True,False,False,False,False,False,False,False,False,True
2003,11,2200,29.9,-94.73333,TEXAS,Flash Flood,,Flooding across northern Brazoria County.,24.17801,12.311608,67.84701,91.3384,23.503904,15.431208,15.431208,1009.9915,0.41080207,3.0,False,False,False,True,False,False,False,False,False,False,False,True
2003,11,1145,29.53333,-95.41667,TEXAS,Flash Flood,,Extensive flooding in and around Kendleton. Flooding extended into the towns of Needville and Mission Bend.,24.04898,14.82181,64.33304,87.34656,22.145702,5.177782,5.177782,1009.9579,0.3686022,21.0,False,False,False,True,False,False,False,False,False,False,False,True
2003,9,2114,32.31667,-102.45,TEXAS,Flash Flood,,"High water resulting from flash flooding was widespread across eastern Dawson County late on the 7th and into the early morning hours of the 8th. As the supercell storm tracked southeast across the area, vehicles were stalled in high water on U.S. Highway 87 twelve miles north of Lamesa. Farm to Market Road 178 was also impassable three miles north of Key.",24.415369,10.345859,9.532059,63.537663,17.531065,0.0,0.0,1015.4626,0.18944858,946.0,False,True,False,False,False,False,False,False,False,False,True,False
2003,9,1735,32.31667,-102.43333,TEXAS,Flash Flood,,Reports indicated several cars stalled in flash flood waters on Loop 250 at Fairgrounds Road. No injuries were reported.,24.447868,10.345859,9.532059,63.537663,17.561808,0.0,0.0,1015.4626,0.18944858,941.0,False,True,False,False,False,False,False,False,False,False,True,False
2003,3,1830,29.95,-98.91667,TEXAS,Flash Flood,,"Rainfall from mid afternoon into the early evening produced general amounts near 1 inch with scattered totals to 3 inches.    Due to the saturated nature of soils across the county, brief flash flooding developed over low areas and low water crossings.",21.737318,13.539489,71.98136,76.07431,17.729908,1.6884224,1.6884224,1005.39105,0.34076685,442.0,True,False,False,False,False,False,False,False,False,True,True,False
2003,4,1730,32.4,-101.65,TEXAS,Flash Flood,,The Texas Department of Transportation reported high water covering the intersection of Highways 1210 and 178 in northern Dawson County.,26.75446,20.267645,42.14553,10.92168,-6.694469,0.0,0.0,1006.7396,0.14612226,792.0,True,False,False,False,False,False,False,False,False,True,True,False
2003,5,1445,31.85,-102.36667,TEXAS,Flash Flood,,Very heavy rain combined with ice blockage from hail resulted in flash flooding of a construction site along Highway 285 south of Fort Stockton.,22.944534,25.7246,46.30748,64.77373,19.665497,2.9896922,2.9896922,1012.73334,0.14368983,884.0,True,False,False,False,False,False,False,False,False,True,True,False
2003,4,1936,31.95,-99.95,TEXAS,Flash Flood,,Water over the intersections of highway 153 and 83.,27.756203,19.885344,35.674133,49.947155,16.311823,1.7361293,1.7361293,1005.4019,0.16179295,550.0,True,False,False,False,False,False,False,False,False,False,True,False
2003,6,130,32.71667,-100.9,TEXAS,Flash Flood,,"Local law enforcement officials reported flash flooding which resulted in high water running over many area roadways, including city streets in Big Spring, and Farm to Market Road 2230 north of the city.  Over one foot of water covered Midway Road east of Big Spring.",27.260008,12.70676,32.45356,39.222427,12.007998,0.0,0.0,1012.1902,0.16620323,720.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,1850,32.88333,-101.15,TEXAS,Flash Flood,,A significant flash flood event affected the eastern part of Howard County. At least one vehicle was stalled in high water on the access road of Interstate 20 east of Big Spring. The occupants were rescued. Houses were flooded in both Forsan and Coahoma. Pavement on rural roadways was washed away. No injuries were reported.,20.415707,9.152668,24.950857,64.37571,14.19253,2.0362241,2.0362241,1021.13153,0.17937917,814.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,2050,30.93333,-102.86667,TEXAS,Flash Flood,,"Storm spotters reported flash flooding which resulted in high water flowing over Interstate 10 west of Fort Stockton. By late evening, two feet of water was reported flowing over the interstate service road eleven miles west of Fort Stockton.",32.623386,19.596334,62.813152,23.81422,9.635854,0.0,0.0,1006.7109,0.14553276,884.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,2040,32.25,-101.46667,TEXAS,Flash Flood,,Flash flooding washed out County Road 1090 near the Upton County line.,28.973776,9.446435,10.750864,46.536327,16.80544,0.6153703,0.6153703,1016.49084,0.16788542,753.0,False,False,False,False,False,False,False,False,False,True,True,False
2003,6,1830,31.93333,-102.2,TEXAS,Flash Flood,,The intersection of Farm to Market Roads 612 and 2350 was under high water due to flash flooding.,22.227798,14.620387,50.110153,59.552174,14.753289,2.238295,2.238295,1019.9267,0.15314727,868.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,1659,32.85,-101.01667,TEXAS,Flash Flood,,Spotters reported flash flooding in the city of Odessa. Numerous city streets were impassable.,21.093729,10.181343,55.308167,63.33924,14.812377,0.1186651,0.1186651,1020.9177,0.17044587,760.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,100,32.4,-100.85,TEXAS,Flash Flood,,Flash flooding resulted in high water covering the intersection of Farm to Market Roads 2126 and 612.,27.258364,13.90528,28.221607,41.31298,12.783838,0.0,0.0,1012.2661,0.17479308,646.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,130,31.2,-101.46667,TEXAS,Flash Flood,,"Local officials reported flash flooding which resulted in high water in parts of Colorado City. One report indicated the water was ""knee high"" outside a partially flooded trailer home.",26.606384,15.078273,24.92164,37.12793,10.882948,0.0,0.0,1012.66315,0.16553845,824.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,1830,31.86667,-102.56667,TEXAS,Flash Flood,,Flash flooding caused Farm to Market Road 1806 to be covered by high water.,22.249346,16.001928,45.646637,59.19442,14.526276,3.4964056,3.4964056,1019.66016,0.10969561,936.0,False,False,False,False,False,False,False,False,False,True,True,False
2003,6,2156,31.73333,-102.6,TEXAS,Flash Flood,,Flash flooding resulted in flood waters running over many roadways in western Mitchell County including Highway 163 and Farm to Market Roads 1229 and 1808.,23.310192,17.408987,55.394913,57.21692,14.771051,5.210517,5.210517,1019.1536,0.10884511,890.0,False,False,False,False,False,False,False,False,False,True,True,False
2003,6,2240,32.6,-101.63333,TEXAS,Flash Flood,,Flash flooding resulted in over a foot of water crossing Highway 137 south of Garden City.,31.413359,16.83542,65.9955,27.986729,10.574293,0.0,0.0,1008.1707,0.16003154,819.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,2000,28.98333,-97.5,TEXAS,Flash Flood,,"The line of showers and thunderstorms moved into Lee County shortly before sunset, producing a general 1 to 2 inch rainfall over the county.  Heaviest amounts were in the southeast part of the county, where up to 4 inches of rain was reported.  Flash flooding began and ended during the late evening period.",29.27792,17.823145,2.273716,63.37243,22.289732,0.0,0.0,1005.72205,0.27905166,90.0,False,False,False,False,False,False,False,False,False,True,True,False
2003,6,330,29.5,-101.0,TEXAS,Flash Flood,,"Heavy rain began falling over southern Real County shortly after midnight.  By 3 am CST, nearly 4 inches of rain had fallen over the area and low water crossings were beginning to collect water.  At 330 am CST, SH337 was closed between Leakey and Camp Wood due to the high water.  The rain ended over the county near 7 am CST and the flash flooding ended near 830 am CST.",32.26472,17.690086,35.37531,34.45124,14.412234,0.0,0.0,1010.63477,0.24039347,327.0,False,False,True,False,False,False,False,False,False,False,False,True
2003,5,1840,32.0,-101.91667,TEXAS,Flash Flood,,Local officials reported flash flooding which resulted in flowing water on many city streets in Midland. Water was described to be one to two feet deep.,30.625864,21.848787,29.985325,27.678223,9.668695,0.2427841,0.2427841,1005.5553,0.15506367,831.0,True,False,False,False,False,False,False,False,False,False,True,False
2003,5,2015,32.0,-101.91667,TEXAS,Flash Flood,,Storm spotters reported flash flooding resulting in high water making Farm to Market Road 669 impassable north of Big Spring. The water was reported to be between two and four feet deep.,30.625864,21.848787,29.985325,27.678223,9.668695,0.2427841,0.2427841,1005.5553,0.15506367,831.0,True,False,False,False,False,False,False,False,False,False,True,False
2003,5,2040,32.0,-102.08333,TEXAS,Flash Flood,,High water was flowing over Highway 137 and Farm to Market Road 1064 as a result of flash flooding in northern Dawson County.,30.724598,21.848787,29.985325,26.81977,9.284778,0.2427841,0.2427841,1005.5553,0.15506367,849.0,True,False,False,False,False,False,False,False,False,False,True,False
2003,6,2049,34.0,-101.31667,TEXAS,Flash Flood,,Widespread flooding was reported in and around Dimmitt.,21.910465,11.880712,60.828148,67.74594,15.727003,11.15737,11.15737,1018.14294,0.2242398,966.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,2249,33.68333,-101.38333,TEXAS,Flash Flood,,Widespread flooding was reported in town.,22.042086,11.8498745,66.79853,66.69849,16.270842,5.840359,5.840359,1018.1141,0.21611111,948.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,2142,34.53333,-101.76667,TEXAS,Flash Flood,,Portions of Highway 86 and Highway 87 were reported flooded.,22.028831,13.248738,60.16445,64.381004,14.755838,11.500766,11.500766,1017.9343,0.20015629,1060.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,2226,34.53333,-101.76667,TEXAS,Flash Flood,,Roads were reported flooded in and around Kress.,22.028831,13.248738,60.16445,64.381004,14.755838,11.500766,11.500766,1017.9343,0.20015629,1060.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,2258,33.5,-102.8,TEXAS,Flash Flood,,Widespread flooding was reported in town.,21.715567,12.874108,49.740692,64.11986,15.076391,0.12958811,0.12958811,1017.9303,0.0869826,1150.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,2052,31.36667,-100.53333,TEXAS,Flash Flood,,,22.996487,12.478246,89.123375,71.30799,17.45074,6.6075063,6.6075063,1019.6509,0.26260865,576.0,False,False,False,True,False,False,False,False,False,False,False,True
2003,6,2121,31.21667,-99.85,TEXAS,Flash Flood,,,23.441431,11.486925,87.33414,74.367645,18.16187,15.358789,15.358789,1019.21466,0.316607,624.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,2027,31.45,-100.45,TEXAS,Flash Flood,,Streets flooded in Robert Lee.,22.986202,11.876549,88.65178,71.21539,17.423113,6.7030873,6.7030873,1019.5544,0.2373053,565.0,False,False,False,False,False,False,False,False,False,True,True,False
2003,6,1820,34.98333,-101.95,TEXAS,Flash Flood,,Major flash flooding in the city of Canyon. Numerous roads were closed and garbage dumpsters were reported floating down the street. Bar ditches were reported overflowing. One home received damage by flood waters on Country Club Road and two other homes had their basements flooded. There was a high water vehicle rescue performed in Canyon at the intersection of Country Club Road and Rockwell Road when a woman drove her vehicle into flood waters which then swept her vehicle into the ditch. The water was reported to be up to her vehicle's windows. The woman was rescued by the Canyon Fire Department and no injuries occurred.,22.925108,15.012501,25.965502,61.00201,15.868404,2.477301,2.477301,1012.24915,0.24181336,1092.0,False,False,False,False,False,False,False,False,False,True,True,False
2003,6,1345,32.73333,-101.95,TEXAS,Flash Flood,,Over three feet of water was reported flowing over the intersection of Farm to Market Roads 1357 and 1379 as a result of flash flooding.,31.679388,18.141005,0.0,24.793705,9.436954,0.0,0.0,1000.5774,0.15788779,911.0,False,False,False,False,False,False,False,False,False,True,True,False
2003,6,1330,31.08333,-102.38333,TEXAS,Flash Flood,,Flash flooding resulted in high water flowing over County Road 337.,33.008675,18.161505,0.0,23.284435,9.778002,0.0,0.0,1001.124,0.15031421,698.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,1325,30.88333,-102.28333,TEXAS,Flash Flood,,Flash flooding resulted in high water covering several rural roadways in southwest Glasscock County. Farm to Market Road 1357 was impassable.,32.3559,18.48641,0.0,25.542976,10.627997,0.0,0.0,1001.4397,0.1543164,780.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,6,2210,31.73333,-99.95,TEXAS,Flash Flood,,Water over a highway.,23.208307,11.079529,88.00729,68.98923,17.832523,4.0331903,4.0331903,1019.67365,0.19745682,497.0,False,False,False,False,False,False,False,False,False,False,True,False
2003,9,1750,32.0,-102.08333,TEXAS,Flash Flood,,Local officials reported flash flooding that resulted in high water covering city streets in Greenwood.,25.877443,9.9454975,7.343313,59.256332,17.710533,0.72064465,0.72064465,1015.3779,0.19353265,849.0,False,True,False,False,False,False,False,False,False,False,True,False
2003,9,1830,35.68333,-102.33333,TEXAS,Flash Flood,,Extensive flooding of bar ditches three to four feet deep along Farm to Market Road 1061.,22.328138,13.853315,0.0,55.97242,14.147394,0.0,0.0,1010.1308,0.19058678,1160.0,False,True,False,False,False,False,False,False,False,False,True,False
